DPI,IFN-alpha (pg/ml),IFN-beta (pg/ml),IFN-beta (pg/ml) truncated
0,12.5,-11.5,0
0,23.5,-1,0
0,9,-5.5,0
0,8.75,-6.00000000000001,0
0,25,-12,0
0,22.75,-14.5,0
1,13,-5,0
1,8.75,-0.5,0
1,11.75,-9.5,0
1,9.75,-13,0
1,27.5,-9,0
1,10,-14,0
2,26.25,0.5,0.5
2,9.25,-3.5,0
2,0,-10,0
2,0,-10,0
2,2,-12,0
2,0.25,-9.5,0
3,32,23.5,23.5
3,20.5,-1.5,0
3,32.75,19,19
3,27.75,31.5,31.5
3,11.5,-2.5,0
3,41,14.5,14.5
5,66.5,95.5,95.5
5,54.25,108.5,108.5
5,44,122.5,122.5
5,72.25,130.5,130.5
5,66.75,110,110
5,26.25,113.5,113.5
7,63,46.5,46.5
7,65,23.5,23.5
7,67,32,32
7,26,47,47
7,58.75,18,18
7,77.75,36,36
9,37.75,11.5,11.5
9,65.75,22,22
9,32.5,-3.5,0
9,47.5,1.5,1.5
9,51.75,18,18
9,51.75,-6.5,0
11,40.5,25,25
11,46.5,17,17
11,6.25000000000001,23.5,23.5
11,41.75,24.5,24.5
11,42.5,13.5,13.5
11,5,32,32
15,11,-12,0
15,19.75,-16,0
15,46.5,-12,0
15,12.5,-14,0
15,47.5,-14.5,0
15,31.25,-17.5,0
19,5.75000000000001,-16,0
19,5.25,-14,0
19,25,-14,0
19,17.5,-18.5,0
19,20.25,-19,0
19,18.5,-15,0
