parameter,log10_value,param_value,contained,solver_success
DF_DV_ratio,3.9760429751987694,9463.307999999997,1,1
DF_DV_ratio,4.109376308532103,12864.008208651887,1,1
DF_DV_ratio,4.242709641865436,17486.771770744737,1,1
DF_DV_ratio,4.37604297519877,23770.754962396073,1,1
DF_DV_ratio,4.509376308532103,32312.927674140497,1,1
DF_DV_ratio,4.642709641865436,43924.7847418385,1,1
DF_DV_ratio,4.776042975198769,59709.43685678164,1,1
DF_DV_ratio,4.909376308532103,81166.404587024,1,1
DF_DV_ratio,5.042709641865436,110334.07080000301,1,1
DF_DV_ratio,5.1760429751987695,149983.32427362798,1,1
DF_DV_ratio,5.309376308532102,203880.79037656225,1,1
DF_DV_ratio,5.442709641865436,277146.65537574515,1,1
DF_DV_ratio,5.576042975198769,376741.0771956271,1,1
DF_DV_ratio,5.709376308532103,512125.39099233615,1,1
DF_DV_ratio,5.842709641865436,696160.9231765951,1,1
DF_DV_ratio,5.976042975198769,946330.7999999997,1,1
DF_DV_ratio,6.109376308532103,1.2864008208651887e6,0,1
DF_DV_ratio,6.242709641865436,1.7486771770744738e6,0,1
DF_DV_ratio,6.37604297519877,2.377075496239607e6,0,1
DF_DV_ratio,6.509376308532103,3.2312927674140497e6,0,1
DF_DV_ratio,6.642709641865436,4.39247847418385e6,0,1
DF_DV_ratio,6.776042975198769,5.9709436856781645e6,0,1
DF_DV_ratio,6.909376308532103,8.116640458702399e6,0,1
DF_DV_ratio,7.042709641865436,1.1033407080000302e7,0,1
DF_DV_ratio,7.1760429751987695,1.4998332427362798e7,0,1
DF_DV_ratio,7.309376308532102,2.0388079037656225e7,0,1
DF_DV_ratio,7.442709641865436,2.771466553757452e7,0,1
DF_DV_ratio,7.576042975198769,3.767410771956271e7,0,1
DF_DV_ratio,7.709376308532103,5.121253909923361e7,0,1
DF_DV_ratio,7.842709641865436,6.961609231765951e7,0,1
DF_DV_ratio,7.976042975198769,9.463307999999997e7,0,1
