parameter,parameter_value,log10_value,total_infected_area,total_virus_AUC,total_infected_AUC,peak_time_virus,peak_virus,peak_time_infection,peak_infection,peak_time_IFN,peak_IFN
beta,0.07999999999999999,-1.0969100130080565,0.3671875,42.865257316905705,8.058352992358946,6.4,6.538142493070552,7.5,1.148080448900927,10.0,3.9374581392482946
beta,0.11115963954985102,-0.9540528701509136,0.35546875,39.82559672834948,8.075318914955513,4.8,6.752422642238695,6.5,1.1955561007812125,10.0,15.516439162988632
beta,0.15445581831066,-0.8111957272937708,0.35546875,34.87454980778129,7.490969431977583,4.1,7.0209282239848685,4.0,1.2628836558709657,10.0,22.626365973635853
beta,0.21461566362237805,-0.6683385844366279,0.33984375,29.972093571983795,6.80042445572263,3.5,7.279418723645692,2.9,1.4064539361888624,10.0,26.458028450122367
beta,0.2982074976251952,-0.525481441579485,0.32421875,25.773771991427342,6.1714087944976495,3.1,7.522355267687885,2.7,1.5674132534205572,9.9,30.216591893219586
beta,0.41435797433849686,-0.38262429872234216,0.30859375,22.545345708557925,5.661889829009575,2.7,7.759169645301645,2.5,1.7459199509711807,9.0,34.44547217943791
beta,0.5757485384009216,-0.23976715586519928,0.30859375,20.32107558438493,5.35825575602785,2.4,7.990041584304365,2.3,1.943398454219364,8.1,40.34136152495022
beta,0.8,-0.0969100130080564,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
beta,1.1115963954985102,0.04594712984908646,0.30859375,18.03373012433067,5.269341729239643,2.0,8.50532875749379,2.0,2.376701401446164,6.9,55.2307235400625
beta,1.5445581831066002,0.18880427270622932,0.32421875,17.529634547830746,5.384881219257653,1.9,8.78615308806389,1.9,2.6099834244754896,6.5,63.28522447327062
beta,2.1461566362237807,0.3316614155633722,0.32421875,17.281670278796806,5.574720633447467,1.7,9.097201576903936,1.8,2.8781503507821355,6.3,71.84523994549842
beta,2.9820749762519525,0.47451855842051505,0.32421875,17.223445176655424,5.833135842588942,1.6,9.458403359305661,1.7,3.1717429174970864,6.1,81.22885844568698
beta,4.1435797433849695,0.617375701277658,0.33984375,17.311697393930697,6.153572376004983,1.5,9.842019542664657,1.6,3.4718769942768213,5.9,91.58232467235452
beta,5.757485384009216,0.7602328441348007,0.3515625,17.517867133880976,6.519156998187807,1.4,10.23149793700774,1.6,3.784002070400742,5.6,102.60108978489545
beta,8.000000000000002,0.9030899869919436,0.3671875,17.824966183801045,6.903880038686733,1.4,10.736683405298303,1.5,4.152081617345748,5.4,113.47333830084818
k_E,0.4,-0.3979400086720376,0.32421875,21.128402362775024,3.0755338082810657,10.0,4.756185290547814,10.0,0.63796388481014,10.0,0.13798174324881274
k_E,0.5557981977492551,-0.25508286581489475,0.3671875,31.93463100580315,4.80547139402327,10.0,6.216595965230446,10.0,0.8836787201565444,10.0,0.2690333795321387
k_E,0.7722790915533001,-0.11222572295775188,0.421875,43.460129501425044,6.955171187219757,8.8,7.158261800849563,10.0,1.149434429821221,10.0,0.6108938061509628
k_E,1.0730783181118904,0.030631419899390992,0.4609375,50.29955842513294,9.250022875599948,6.5,7.812327656480404,8.5,1.3288497949679023,10.0,5.39383227555002
k_E,1.4910374881259763,0.17348856275653385,0.4296875,43.47386429821671,9.743378113170948,4.8,8.272845058872253,6.2,1.4565169150351407,10.0,56.33455143858031
